SC_Alien.ElapsedSecs      SC_Alien.EarthMJ2000Eq.X   SC_Alien.EarthMJ2000Eq.Y   SC_Alien.EarthMJ2000Eq.Z   SC_Alien.EarthMJ2000Eq.VX   SC_Alien.EarthMJ2000Eq.VY   SC_Alien.EarthMJ2000Eq.VZ   SC_Human.ElapsedSecs      SC_Human.EarthMJ2000Eq.X   SC_Human.EarthMJ2000Eq.Y   SC_Human.EarthMJ2000Eq.Z   SC_Human.EarthMJ2000Eq.VX   SC_Human.EarthMJ2000Eq.VY   SC_Human.EarthMJ2000Eq.VZ   
10.00000013737008         2173.288383906146          4573.008568122899          -4977.389901972012         6.352507017309755           1.127738124639443           3.809825267749994           10.00000013737008         -3370.917958240757         -5916.223645529409         -33.28505648658498         5.396804438664502           -4.123996524882607          -5.723833617632549          
11.00000005681068         2179.639679564115          4574.133759590822          -4973.577305787149         6.350083119736133           1.122644602355034           3.81536639430168            11.00000005681068         -3365.519027298443         -5920.343907014464         -39.00886789135957         5.401056016443329           -4.116526094491052          -5.723787990909558          
11.99999997625127         2185.988547788286          4575.253856910851          -4969.75917059978          6.347652150165003           1.117549829797254           3.820903271733925           11.99999997625127         -3360.115849067589         -5924.456697020494         -44.73263006740719         5.405299015064257           -4.109053570402897          -5.723735161196895          
12.99999989569187         2192.334981508015          4576.368858835549          -4965.935500662109         6.345214111303702           1.112453812640078           3.826435893880388           12.99999989569187         -3354.708432129382         -5928.562013464514         -50.45633581479816         5.409533430480589           -4.101578974041219          -5.723675134619706          
14.00000012945384         2198.678973655368          4577.478764123155          -4962.106300232501         6.342769005867439           1.107356556558869           3.831964254579465           14.00000012945384         -3349.296785069028         -5932.659854284954         -56.17997793974347         5.413759258696771           -4.094102326813608          -5.723607917334189          
15.00000004889444         2205.020517165132          4578.583571537583          -4958.271573575485         6.340316836579292           1.102258067230369           3.8374883476743             15.00000004889444         -3343.880916475703         -5936.75021744165          -61.90354925462579         5.417976495768348           -4.086623650111989          -5.7235335155275            
15.99999996833503         2211.35960497482           4579.683279848426          -4954.431324961738         6.337857606170207           1.097158350332692           3.843008167012788           15.99999996833503         -3338.460834942504         -5940.833100915815         -67.6270425780304          5.422185137801922           -4.079142965312445          -5.723451935417622          
16.99999988777563         2217.696230024678          4580.777887830952          -4950.585558668093         6.335391317378996           1.092057411545321           3.848523706447586           16.99999988777563         -3333.036549066393         -5944.90850271003          -73.35045073477588         5.426385180955096           -4.071660293775037          -5.723363183253272          
18.0000001215376          2224.030385257699          4581.867394266113          -4946.734278977526         6.332917972952328           1.086955256549099           3.854034959836116           18.0000001215376          -3327.608067448151         -5948.976420848234         -79.0737665559449          5.430576621436435           -4.064175656843629          -5.723267265313783          
19.00000004097819         2230.362063619623          4582.951797940542          -4942.877490179148         6.330437575644733           1.081851891026225           3.859541921040571           19.00000004097819         -3322.175398692325         -5953.036853375696         -84.79698287891466         5.434759455505408           -4.056689075845715          -5.723164187908992          
19.99999996041879         2236.69125805895           4584.031097646553          -4939.015196568215         6.327950128218592           1.076747320660243           3.865044583927928           19.99999996041879         -3316.738551407176         -5957.089798359008         -90.52009254738749         5.438933679472347           -4.049200572092239          -5.723053957379133          
20.99999987985939         2243.017961526945          4585.105292182144          -4935.147402446106         6.325455633444141           1.071641551136041           3.87054294236995            20.99999987985939         -3311.297534204628         -5961.135253886061         -96.24308841142108         5.443099289698393           -4.041710166877426          -5.722936580094722          
22.00000011362135         2249.342166977648          4586.174380351001          -4931.274112120331         6.322954094099464           1.066534588139843           3.876036990243192           22.00000011362135         -3305.852355700222         -5965.173218066036         -101.9659633274587         5.447256282595445           -4.034217881478596          -5.722812062456453          
23.00000003306195         2255.663867367883          4587.238360962496          -4927.395329904517         6.320445512970491           1.061426437359201           3.881526721429011           23.00000003306195         -3300.403024513059         -5969.203689029378         -107.6887101583593         5.451404654626105           -4.026723737156005          -5.722680410895075          
23.99999995250255         2261.983055657259          4588.297232831688          -4923.511060118409         6.317929892850993           1.056317104482989           3.887012129813571           23.99999995250255         -3294.949549265754         -5973.226664927787         -113.4113217734277         5.455544402303634           -4.019227755152666          -5.722541631871291          
24.99999987194315         2268.299724808188          4589.350994779326          -4919.621307087862         6.315407236542578           1.0512065952014             3.892493209287851           24.99999987194315         -3289.491938584382         -5977.242143934197         -119.1337910484443         5.459675522191895           -4.011729956694168          -5.72239573187564           
26.00000010570511         2274.613867785885          4590.399645631853          -4915.726075144838         6.312877546854692           1.046094915205934           3.89796995374765            26.00000010570511         -3284.030201098428         -5981.25012424276          -124.8561108656948         5.463798010905299           -4.004230362988521          -5.722242717428384          
27.00000002514571         2280.925477558376          4591.443184221398          -4911.825368627404         6.310340826604619           1.040982070189398           3.903442357093597           27.00000002514571         -3278.564345440742         -5985.250604068822         -130.5782741140001         5.467911865108748           -3.996728995225972          -5.722082595079399          
27.99999994458631         2287.234547096514          4592.481609385789          -4907.91919187972          6.307797078617466           1.035868065845894           3.908910413231152           27.99999994458631         -3273.094380247477         -5989.243581648916         -136.3002736887458         5.47201708151759            -3.989225874578838          -5.721915371408059          
28.9999998640269          2293.541069373976          4593.514919968546          -4904.00754925204          6.30524630572617            1.030752907870817           3.914374116070619           28.9999998640269          -3267.62031415805          -5993.229055240737         -142.0221024919114         5.476113656897557           -3.981721022201339          -5.72174105302313           
30.00000009778887         2299.845037367279          4594.543114818885          -4900.090445100705         6.302688510771488           1.025636601960846           3.91983345952715            30.00000009778887         -3262.142155815088         -5997.20702312312          -147.7437534320999         5.480201588064705           -3.974214459229423          -5.721559646562647          
31.00000001722947         2306.146444055782          4595.566192791721          -4896.167883788141         6.300123696602003           1.020519153813937           3.925288437520752           31.00000001722947         -3256.659913864371         -6001.177483596036         -153.4652194245668         5.484280871885367           -3.966706206780603          -5.721371158693808          
31.99999993667006         2312.445282421696          4596.584152747667          -4892.239869682844         6.297551866074109           1.01540056912932            3.930739043976293           31.99999993667006         -3251.173596954794         -6005.140434980558         -159.1864933912497         5.488351505276089           -3.959196285953787          -5.721175596112858          
32.99999985611066         2318.741545450097          4597.596993553034          -4888.306407159392         6.294973022052019           1.010280853607492           3.93618527282351            32.99999985611066         -3245.683213738307         -6009.095875618846         -164.9075682607966         5.492413485203577           -3.951684717829109          -5.720972965544975          
34.00000008987263         2325.035226128925          4598.604714079836          -4884.367500598421         6.292387167407754           1.005160012950205           3.941627117997013           34.00000008987263         -3240.188772869869         -6013.043803874138         -170.6284369685951         5.496466808684634           -3.944171523467762          -5.720763273744157          
35.00000000931323         2331.326317448998          4599.607313205789          -4880.423154386641         6.289794305021147           1.000038052860468           3.947064573436299           35.00000000931323         -3234.690283007398         -6016.984218130717         -176.3490924568012         5.500511472786103           -3.936656723911836          -5.720546527493106          
35.99999992875382         2337.614812404016          4600.604789814313          -4876.473372916812         6.287194437779828           0.9949149790425342          3.952497633085751           35.99999992875382         -3229.187752811718         -6020.917116793904         -182.0695276743679         5.504547474624808           -3.929140340184147          -5.720322733603119          
36.99999984819442         2343.900703990571          4601.597142794532          -4872.518160587751         6.284587568579234           0.9897907972018993          3.957926290894646           36.99999984819442         -3223.681190946514         -6024.842498290031         -187.789735577074          5.508574811367491           -3.921622393288077          -5.720091898913967          
38.00000008195639         2350.183985208155          4602.584371041278          -4868.557521804319         6.281973700322598           0.9846655130452916          3.963350540817165           38.00000008195639         -3218.170606078276         -6028.760361066419         -193.5097091275519         5.512593480230758           -3.914102904207406          -5.719854030293785          
39.00000000139698         2356.464649059167          4603.566473455088          -4864.591460977425         6.27935283592095            0.9795391322806675          3.968770376812399           39.00000000139698         -3212.656006876256         -6032.670703591371         -199.2294412953164         5.516603478481011           -3.906581893906151          -5.719609134638954          
39.99999992083758         2362.742688548921          4604.543448942209          -4860.619982524015         6.276724978293107           0.9744116606172044          3.974185792844353           39.99999992083758         -3207.137402012414         -6036.57352435414          -204.9489250567928         5.520604803434384           -3.8990593833284            -5.71935721887399           
41.00000015459955         2369.018096685653          4605.515296414595          -4856.643090867068         6.274090130365677           0.9692831037652948          3.979596782881953           41.00000015459955         -3201.614800161365         -6040.468821864913         -210.6681533953448         5.524597452456691           -3.891535393398154          -5.719098289951424          
42.00000007404014         2375.290866480531          4606.482014789915          -4852.660790435591         6.271448295073052           0.9641534674365398          3.98500334089906            42.00000007404014         -3196.088210000339         -6044.356594654789         -216.3871193013029         5.528581422963347           -3.884009945019161          -5.718832354851695          
42.99999999348074         2381.560990947658          4607.443602991548          -4848.673085664618         6.26879947535741            0.9590227573437422          3.990405460874464           42.99999999348074         -3190.557640209122         -6048.236841275762         -222.1058157719916         5.532556712419322           -3.876483059074758          -5.718559420583022          
43.99999991292134         2387.828463104087          4608.400059948585          -4844.679980995195         6.2661436741687             0.9538909792009016          3.995803136791902           43.99999991292134         -3185.023099470013         -6052.109560300705         -227.8242358117576         5.536523318339065           -3.868954756427707          -5.7182794941813            
45.00000014668331         2394.093275969824          4609.351384595837          -4840.68148087439          6.263480894464653           0.9487581387232064          4.001196362640057           45.00000014668331         -3179.48459646777          -6055.974750323332         -233.5423724319973         5.54048123828644            -3.861425057920042          -5.71799258270998           
46.0000000661239          2400.355422567834          4610.297575873827          -4836.677589755274         6.260811139210766           0.9436242416270281          4.006585132412574           46.0000000661239          -3173.942139889561         -6059.832409958198         -239.2602186511843         5.544430469874662           -3.8538939843729            -5.717698693259947          
46.9999999855645          2406.614895924053          4611.238632728793          -4832.668312096925         6.25813441138031            0.9384892936299151          4.011969440108053           46.9999999855645          -3168.395738424919         -6063.682537840666         -244.9777674948968         5.548371010766232           -3.846361556586374          -5.717397832949418          
47.9999999050051          2412.871689067396          4612.174554112694          -4828.653652364416         6.255450713954319           0.9333533004505864          4.017349279730065           47.9999999050051          -3162.84540076569          -6067.525132626885         -250.6950119958445         5.552302858672868           -3.838827795339345          -5.717090008923813          
49.00000013876706         2419.12579502976           4613.105338983207          -4824.633615028821         6.252760049921587           0.9282162678089245          4.022724645287164           49.00000013876706         -3157.291135605982         -6071.360192993777         -256.4119451938966         5.556226011355442           -3.83129272138933           -5.716775228355646          
50.00000005820766         2425.377206846036          4614.030986303731          -4820.608204567194         6.250062422278669           0.92307820142597            4.028095530792879           50.00000005820766         -3151.732951642117         -6075.187717639009         -262.1285601361078         5.560140466623906           -3.823756355472327          -5.716453498444403          
50.99999997764826         2431.625917554115          4614.951495043385          -4816.577425462579         6.247357834029875           0.9179391070239142          4.033461930265732           50.99999997764826         -3146.170857572586         -6079.007705280971         -267.8448498767462         5.564046222337225           -3.816218718302654          -5.716124826416428          
51.99999989708886         2437.871920194897          4615.866864177014          -4812.541282204001         6.244646288187268           0.9127989903260939          4.038823837729239           51.99999989708886         -3140.604862097992         -6082.82015465876          -273.5608074773193         5.567943276403313           -3.808679830572798          -5.715789219524811          
53.00000013085082         2444.115207812297          4616.77709268518           -4808.499779286449         6.241927787770656           0.9076578570569843          4.044181247211916           53.00000013085082         -3135.03497392101          -6086.625064532152         -279.2764260066009         5.571831626778955           -3.801139712953261          -5.715446685049263          
